"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"g:\SKillSnapFrontend\.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"g:\SKillSnapFrontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"g:\SKillSnapFrontend\app\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 244, 0, 0, 4, 8, 256
"g:\SKillSnapFrontend\app\addproj\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 474, 0, 0, 1, 16, 491
"g:\SKillSnapFrontend\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 0, 106, 0, 0, 0, 0, 23, 11, 140
"g:\SKillSnapFrontend\app\forgotpass\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 9, 122
"g:\SKillSnapFrontend\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 97, 0, 21, 118
"g:\SKillSnapFrontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"g:\SKillSnapFrontend\app\link\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 2, 8, 103
"g:\SKillSnapFrontend\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 8, 100
"g:\SKillSnapFrontend\app\loginuser\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 201, 0, 0, 17, 18, 236
"g:\SKillSnapFrontend\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"g:\SKillSnapFrontend\app\profile\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 206, 0, 0, 3, 10, 219
"g:\SKillSnapFrontend\app\projectcard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"g:\SKillSnapFrontend\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 196, 0, 0, 7, 15, 218
"g:\SKillSnapFrontend\app\reset\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 8, 130
"g:\SKillSnapFrontend\app\verify\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 6, 17, 167
"g:\SKillSnapFrontend\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"g:\SKillSnapFrontend\components\CertificateComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 99, 11, 211
"g:\SKillSnapFrontend\components\ContactComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 2, 7, 59
"g:\SKillSnapFrontend\components\Dialogs\EmailDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 1, 5, 59
"g:\SKillSnapFrontend\components\Dialogs\InviteDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 6, 73
"g:\SKillSnapFrontend\components\Dialogs\LockDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 1, 5, 58
"g:\SKillSnapFrontend\components\Dialogs\LogoutDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 4, 50
"g:\SKillSnapFrontend\components\Dialogs\PasswordDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 1, 6, 93
"g:\SKillSnapFrontend\components\Dialogs\UsernameDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 1, 6, 71
"g:\SKillSnapFrontend\components\Dialogs\WriteAboutYourself.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 8, 77
"g:\SKillSnapFrontend\components\Dialogs\changeEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 1, 8, 116
"g:\SKillSnapFrontend\components\Dialogue\ActionBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 198, 0, 0, 0, 12, 210
"g:\SKillSnapFrontend\components\EducationComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"g:\SKillSnapFrontend\components\ProfessionalExperience.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 288, 0, 0, 2, 12, 302
"g:\SKillSnapFrontend\components\ProjectCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 500, 0, 0, 121, 28, 649
"g:\SKillSnapFrontend\components\ProjectDescriptionContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"g:\SKillSnapFrontend\components\ProjectImageContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"g:\SKillSnapFrontend\components\ProjectLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 5, 3, 19
"g:\SKillSnapFrontend\components\Projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"g:\SKillSnapFrontend\components\Skills.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 11, 79
"g:\SKillSnapFrontend\components\WelcomeDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"g:\SKillSnapFrontend\components\custom\InputField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"g:\SKillSnapFrontend\components\custom\TextareaField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"g:\SKillSnapFrontend\components\forms\AwardForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 149, 0, 0, 4, 16, 169
"g:\SKillSnapFrontend\components\forms\CertificateForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 192, 0, 0, 1, 18, 211
"g:\SKillSnapFrontend\components\forms\ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 200, 0, 0, 1, 17, 218
"g:\SKillSnapFrontend\components\forms\CourseForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 272, 0, 0, 1, 23, 296
"g:\SKillSnapFrontend\components\forms\EducationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 272, 0, 0, 1, 24, 297
"g:\SKillSnapFrontend\components\forms\ExperienceForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 254, 0, 0, 3, 15, 272
"g:\SKillSnapFrontend\components\forms\InterestForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 1, 13, 128
"g:\SKillSnapFrontend\components\forms\LanguageForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 140, 0, 0, 1, 15, 156
"g:\SKillSnapFrontend\components\forms\SettingForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 8, 98
"g:\SKillSnapFrontend\components\forms\SkillForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 1, 15, 151
"g:\SKillSnapFrontend\components\forms\ThemeSelectorForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 64
"g:\SKillSnapFrontend\components\forms\UrlForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"g:\SKillSnapFrontend\components\icons\Pencil.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"g:\SKillSnapFrontend\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"g:\SKillSnapFrontend\components\ui\About\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 6, 79
"g:\SKillSnapFrontend\components\ui\About\Description\Description.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 3, 10, 72
"g:\SKillSnapFrontend\components\ui\About\Description\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\SKillSnapFrontend\components\ui\About\DisplayPicture\DisplayPicture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"g:\SKillSnapFrontend\components\ui\About\DisplayPicture\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\SKillSnapFrontend\components\ui\About\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"g:\SKillSnapFrontend\components\ui\DisplayPicture\DisplayPicture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"g:\SKillSnapFrontend\components\ui\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"g:\SKillSnapFrontend\components\ui\Modal\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\SKillSnapFrontend\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"g:\SKillSnapFrontend\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 6, 67
"g:\SKillSnapFrontend\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 9, 87
"g:\SKillSnapFrontend\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"g:\SKillSnapFrontend\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"g:\SKillSnapFrontend\components\ui\dialogNew.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 2, 14, 138
"g:\SKillSnapFrontend\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 25, 177
"g:\SKillSnapFrontend\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"g:\SKillSnapFrontend\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"g:\SKillSnapFrontend\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"g:\SKillSnapFrontend\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"g:\SKillSnapFrontend\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"g:\SKillSnapFrontend\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"g:\SKillSnapFrontend\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"g:\SKillSnapFrontend\lib\ColorPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 12, 8, 99
"g:\SKillSnapFrontend\lib\DatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"g:\SKillSnapFrontend\lib\use-forwarded-ref.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"g:\SKillSnapFrontend\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\SKillSnapFrontend\next.config.mjs", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 1, 2, 16
"g:\SKillSnapFrontend\package-lock.json", "JSON", 0, 8701, 0, 0, 0, 0, 0, 0, 0, 1, 8702
"g:\SKillSnapFrontend\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"g:\SKillSnapFrontend\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"g:\SKillSnapFrontend\public\ic_emoji.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"g:\SKillSnapFrontend\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"g:\SKillSnapFrontend\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"g:\SKillSnapFrontend\tailwind.config.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 3, 84
"g:\SKillSnapFrontend\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"g:\SKillSnapFrontend\utils\dummy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 26, 8770, 19, 196, 11, 7102, 23, 97, 330, 704, 17278